Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Expiration Date,Spot
AAPL230203C00060000,2023-01-23 11:43AM EST,60.0,82.9,85.0,87.0,0.0,-,6,6,279.69%,0,145.92999267578125
AAPL230203C00080000,2023-01-27 1:09PM EST,80.0,66.36,65.1,66.95,18.12,+37.56%,1,2,201.56%,0,145.92999267578125
AAPL230203C00085000,2023-01-18 3:22PM EST,85.0,50.85,60.05,61.95,0.0,-,1,3,176.56%,0,145.92999267578125
AAPL230203C00090000,2023-01-27 3:39PM EST,90.0,56.89,55.05,56.95,3.27,+6.10%,1,8,159.38%,0,145.92999267578125
AAPL230203C00095000,2023-01-23 12:53PM EST,95.0,47.3,50.05,51.95,0.0,-,10,13,142.97%,0,145.92999267578125
AAPL230203C00100000,2023-01-27 9:51AM EST,100.0,45.05,45.0,47.05,1.25,+2.85%,50,31,132.81%,0,145.92999267578125
AAPL230203C00105000,2023-01-23 3:58PM EST,105.0,36.48,40.05,42.0,0.0,-,1,11,117.58%,0,145.92999267578125
AAPL230203C00110000,2023-01-27 3:30PM EST,110.0,37.03,35.1,37.0,3.28,+9.72%,24,340,106.25%,0,145.92999267578125
AAPL230203C00113000,2023-01-27 10:34AM EST,113.0,32.22,32.25,34.05,5.25,+19.47%,1,79,107.62%,0,145.92999267578125
AAPL230203C00114000,2023-01-27 11:35AM EST,114.0,31.7,31.25,33.0,1.89,+6.34%,4,81,102.34%,0,145.92999267578125
AAPL230203C00115000,2023-01-27 2:32PM EST,115.0,31.87,30.1,32.05,6.17,+24.01%,1,80,94.34%,0,145.92999267578125
AAPL230203C00116000,2023-01-24 9:49AM EST,116.0,26.2,29.4,31.05,0.0,-,10,37,103.61%,0,145.92999267578125
AAPL230203C00117000,2023-01-27 1:44PM EST,117.0,29.38,28.15,30.1,2.42,+8.98%,1,20,93.07%,0,145.92999267578125
AAPL230203C00118000,2023-01-27 10:31AM EST,118.0,27.4,27.05,29.05,5.5,+25.11%,3,116,83.01%,0,145.92999267578125
AAPL230203C00119000,2023-01-27 1:26PM EST,119.0,27.3,26.1,28.25,3.8,+16.17%,11,8,90.63%,0,145.92999267578125
AAPL230203C00120000,2023-01-27 3:56PM EST,120.0,26.28,25.2,26.9,2.52,+10.61%,48,721,77.34%,0,145.92999267578125
AAPL230203C00121000,2023-01-27 1:10PM EST,121.0,25.35,24.1,26.1,3.55,+16.28%,34,36,79.10%,0,145.92999267578125
AAPL230203C00122000,2023-01-27 11:57AM EST,122.0,24.25,23.15,25.25,3.62,+17.55%,2,193,83.01%,0,145.92999267578125
AAPL230203C00123000,2023-01-26 10:50AM EST,123.0,20.48,22.2,24.2,0.0,-,1,127,79.88%,0,145.92999267578125
AAPL230203C00124000,2023-01-27 3:00PM EST,124.0,23.07,21.15,23.25,5.27,+29.61%,1,244,76.76%,0,145.92999267578125
AAPL230203C00125000,2023-01-27 3:54PM EST,125.0,21.55,19.9,22.25,2.51,+13.18%,63,1822,65.43%,0,145.92999267578125
AAPL230203C00126000,2023-01-27 3:57PM EST,126.0,20.2,19.15,21.05,3.05,+17.78%,18,746,64.45%,0,145.92999267578125
AAPL230203C00127000,2023-01-27 3:03PM EST,127.0,20.06,17.9,20.0,3.06,+18.00%,41,408,95.61%,0,145.92999267578125
AAPL230203C00128000,2023-01-27 3:54PM EST,128.0,18.6,16.95,19.1,2.6,+16.25%,324,499,52.93%,0,145.92999267578125
AAPL230203C00129000,2023-01-27 3:58PM EST,129.0,17.26,16.3,17.35,2.24,+14.91%,62,886,67.82%,0,145.92999267578125
AAPL230203C00130000,2023-01-27 3:54PM EST,130.0,16.55,16.0,16.35,2.3,+16.14%,198,18119,57.03%,0,145.92999267578125
AAPL230203C00131000,2023-01-27 3:58PM EST,131.0,15.35,14.3,15.4,2.17,+16.46%,727,2130,62.99%,0,145.92999267578125
AAPL230203C00132000,2023-01-27 3:57PM EST,132.0,14.44,13.4,15.15,2.24,+18.36%,245,1782,55.18%,0,145.92999267578125
AAPL230203C00133000,2023-01-27 3:58PM EST,133.0,13.39,13.15,13.55,2.04,+17.97%,373,1689,54.59%,0,145.92999267578125
AAPL230203C00134000,2023-01-27 3:32PM EST,134.0,13.41,11.5,13.3,3.01,+28.94%,340,1421,52.83%,0,145.92999267578125
AAPL230203C00135000,2023-01-27 3:59PM EST,135.0,11.45,11.15,12.1,1.6,+16.24%,1237,3973,55.57%,0,145.92999267578125
AAPL230203C00136000,2023-01-27 3:57PM EST,136.0,10.68,9.75,10.75,1.65,+18.27%,418,2073,54.79%,0,145.92999267578125
AAPL230203C00137000,2023-01-27 3:59PM EST,137.0,9.85,9.6,9.95,1.6,+19.39%,417,2944,51.51%,0,145.92999267578125
AAPL230203C00138000,2023-01-27 3:57PM EST,138.0,9.01,8.45,9.1,1.56,+20.94%,734,2945,54.05%,0,145.92999267578125
AAPL230203C00139000,2023-01-27 3:58PM EST,139.0,8.11,7.6,8.15,1.36,+20.15%,590,2285,50.73%,0,145.92999267578125
AAPL230203C00140000,2023-01-27 3:59PM EST,140.0,7.33,7.2,8.1,1.33,+22.17%,5553,9067,54.79%,0,145.92999267578125
AAPL230203C00141000,2023-01-27 3:59PM EST,141.0,6.54,6.0,7.15,1.14,+21.11%,1051,16226,57.76%,0,145.92999267578125
AAPL230203C00142000,2023-01-27 3:59PM EST,142.0,5.8,5.25,6.45,1.05,+22.11%,2315,5191,56.98%,0,145.92999267578125
AAPL230203C00143000,2023-01-27 3:59PM EST,143.0,5.2,5.1,5.25,1.05,+25.30%,3603,4850,48.68%,0,145.92999267578125
AAPL230203C00144000,2023-01-27 3:59PM EST,144.0,4.55,4.5,4.65,0.95,+26.39%,5058,14879,48.61%,0,145.92999267578125
