Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Expiration Date,Spot
TSLA230203C00015000,2023-01-27 12:43PM EST,15.0,162.5,0.0,0.0,0.0,-,3,25,0.00%,0,177.89999389648438
TSLA230203C00025000,2023-01-27 10:57AM EST,25.0,141.45,0.0,0.0,0.0,-,4,40,0.00%,0,177.89999389648438
TSLA230203C00035000,2023-01-24 12:24PM EST,35.0,108.7,0.0,0.0,0.0,-,-,2,0.00%,0,177.89999389648438
TSLA230203C00050000,2023-01-27 11:53AM EST,50.0,124.0,0.0,0.0,0.0,-,3,126,0.00%,0,177.89999389648438
TSLA230203C00055000,2023-01-27 3:46PM EST,55.0,124.05,0.0,0.0,0.0,-,31,28,0.00%,0,177.89999389648438
TSLA230203C00060000,2023-01-25 1:28PM EST,60.0,84.7,0.0,0.0,0.0,-,1,13,0.00%,0,177.89999389648438
TSLA230203C00065000,2023-01-27 1:40PM EST,65.0,111.8,0.0,0.0,0.0,-,7,10,0.00%,0,177.89999389648438
TSLA230203C00070000,2023-01-27 1:43PM EST,70.0,107.2,0.0,0.0,0.0,-,8,70,0.00%,0,177.89999389648438
TSLA230203C00075000,2023-01-27 2:48PM EST,75.0,104.45,0.0,0.0,0.0,-,12,21,0.00%,0,177.89999389648438
TSLA230203C00080000,2023-01-27 10:13AM EST,80.0,85.65,0.0,0.0,0.0,-,9,49,0.00%,0,177.89999389648438
TSLA230203C00085000,2023-01-27 3:12PM EST,85.0,94.47,0.0,0.0,0.0,-,92,142,0.00%,0,177.89999389648438
TSLA230203C00086000,2023-01-27 1:14PM EST,86.0,90.05,0.0,0.0,0.0,-,17,23,0.00%,0,177.89999389648438
TSLA230203C00087000,2023-01-27 3:15PM EST,87.0,91.0,0.0,0.0,0.0,-,34,24,0.00%,0,177.89999389648438
TSLA230203C00088000,2023-01-27 3:48PM EST,88.0,91.1,0.0,0.0,0.0,-,50,47,0.00%,0,177.89999389648438
TSLA230203C00089000,2023-01-27 3:15PM EST,89.0,89.0,0.0,0.0,0.0,-,35,26,0.00%,0,177.89999389648438
TSLA230203C00090000,2023-01-27 3:46PM EST,90.0,89.1,0.0,0.0,0.0,-,23,123,0.00%,0,177.89999389648438
TSLA230203C00091000,2023-01-27 2:39PM EST,91.0,88.05,0.0,0.0,0.0,-,34,22,0.00%,0,177.89999389648438
TSLA230203C00092000,2023-01-27 2:09PM EST,92.0,85.15,0.0,0.0,0.0,-,27,27,0.00%,0,177.89999389648438
TSLA230203C00093000,2023-01-27 1:28PM EST,93.0,83.55,0.0,0.0,0.0,-,29,43,0.00%,0,177.89999389648438
TSLA230203C00094000,2023-01-27 1:48PM EST,94.0,83.05,0.0,0.0,0.0,-,10,20,0.00%,0,177.89999389648438
TSLA230203C00095000,2023-01-27 1:41PM EST,95.0,82.5,0.0,0.0,0.0,-,35,35,0.00%,0,177.89999389648438
TSLA230203C00096000,2023-01-27 2:58PM EST,96.0,84.2,0.0,0.0,0.0,-,27,32,0.00%,0,177.89999389648438
TSLA230203C00097000,2023-01-27 3:12PM EST,97.0,82.51,0.0,0.0,0.0,-,42,31,0.00%,0,177.89999389648438
TSLA230203C00098000,2023-01-27 2:58PM EST,98.0,81.9,0.0,0.0,0.0,-,4,13,0.00%,0,177.89999389648438
TSLA230203C00099000,2023-01-27 2:58PM EST,99.0,80.9,0.0,0.0,0.0,-,18,22,0.00%,0,177.89999389648438
TSLA230203C00100000,2023-01-27 3:51PM EST,100.0,79.0,0.0,0.0,0.0,-,346,548,0.00%,0,177.89999389648438
TSLA230203C00101000,2023-01-27 2:56PM EST,101.0,79.6,0.0,0.0,0.0,-,55,25,0.00%,0,177.89999389648438
TSLA230203C00102000,2023-01-27 3:54PM EST,102.0,76.35,0.0,0.0,0.0,-,51,38,0.00%,0,177.89999389648438
TSLA230203C00103000,2023-01-27 3:18PM EST,103.0,75.25,0.0,0.0,0.0,-,37,62,0.00%,0,177.89999389648438
TSLA230203C00104000,2023-01-27 3:14PM EST,104.0,74.0,0.0,0.0,0.0,-,31,204,0.00%,0,177.89999389648438
TSLA230203C00105000,2023-01-27 3:26PM EST,105.0,74.2,0.0,0.0,0.0,-,75,588,0.00%,0,177.89999389648438
TSLA230203C00106000,2023-01-27 3:31PM EST,106.0,73.9,0.0,0.0,0.0,-,49,105,0.00%,0,177.89999389648438
TSLA230203C00107000,2023-01-27 2:57PM EST,107.0,73.44,0.0,0.0,0.0,-,44,129,0.00%,0,177.89999389648438
TSLA230203C00108000,2023-01-27 3:48PM EST,108.0,71.07,0.0,0.0,0.0,-,38,125,0.00%,0,177.89999389648438
TSLA230203C00109000,2023-01-27 3:59PM EST,109.0,69.09,0.0,0.0,0.0,-,30,215,0.00%,0,177.89999389648438
TSLA230203C00110000,2023-01-27 3:54PM EST,110.0,68.4,0.0,0.0,0.0,-,143,1447,0.00%,0,177.89999389648438
TSLA230203C00111000,2023-01-27 1:29PM EST,111.0,65.35,0.0,0.0,0.0,-,134,209,0.00%,0,177.89999389648438
TSLA230203C00112000,2023-01-27 3:54PM EST,112.0,66.4,0.0,0.0,0.0,-,122,296,0.00%,0,177.89999389648438
TSLA230203C00113000,2023-01-27 3:54PM EST,113.0,65.4,0.0,0.0,0.0,-,54,435,0.00%,0,177.89999389648438
TSLA230203C00114000,2023-01-27 2:34PM EST,114.0,65.37,0.0,0.0,0.0,-,36,446,0.00%,0,177.89999389648438
TSLA230203C00115000,2023-01-27 3:59PM EST,115.0,62.8,0.0,0.0,0.0,-,133,1218,0.00%,0,177.89999389648438
TSLA230203C00116000,2023-01-27 2:04PM EST,116.0,60.65,0.0,0.0,0.0,-,80,523,0.00%,0,177.89999389648438
TSLA230203C00117000,2023-01-27 3:14PM EST,117.0,61.15,0.0,0.0,0.0,-,98,230,0.00%,0,177.89999389648438
TSLA230203C00118000,2023-01-27 3:05PM EST,118.0,61.75,0.0,0.0,0.0,-,70,256,0.00%,0,177.89999389648438
TSLA230203C00119000,2023-01-27 3:40PM EST,119.0,60.15,0.0,0.0,0.0,-,83,361,0.00%,0,177.89999389648438
TSLA230203C00120000,2023-01-27 3:59PM EST,120.0,58.05,0.0,0.0,0.0,-,566,2097,0.00%,0,177.89999389648438
